image_path,classes
data\dataset_2_split\train\images\13-090-ls-34-g01_12540_13680.jpg,10
data\dataset_2_split\train\images\13-090-ls-34-g01_18240_19380.jpg,"0,7"
data\dataset_2_split\train\images\13-090-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-090-ls-34-g01_3420_4560.jpg,0
data\dataset_2_split\train\images\13-090-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\13-100-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-100-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\13-100-ls-34-g01_1140_2280.jpg,
data\dataset_2_split\train\images\13-100-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-100-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-100-ls-34-g01_15960_17100.jpg,0
data\dataset_2_split\train\images\13-100-ls-34-g01_19380_20520.jpg,7
data\dataset_2_split\train\images\13-100-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-100-ls-34-g01_2280_3420.jpg,6
data\dataset_2_split\train\images\13-100-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-100-ls-34-g01_26220_27360.jpg,0
data\dataset_2_split\train\images\13-100-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-100-ls-34-g01_3420_4560.jpg,
data\dataset_2_split\train\images\13-100-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-110-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\13-110-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\13-110-ls-34-g01_1140_2280.jpg,6
data\dataset_2_split\train\images\13-110-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-110-ls-34-g01_18240_19380.jpg,7
data\dataset_2_split\train\images\13-110-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-110-ls-34-g01_23940_25080.jpg,0
data\dataset_2_split\train\images\13-110-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\13-110-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-110-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-110-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-120-ls-34-g01_11400_12540.jpg,0
data\dataset_2_split\train\images\13-120-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-120-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-120-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\13-120-ls-34-g01_22800_23940.jpg,
data\dataset_2_split\train\images\13-120-ls-34-g01_2280_3420.jpg,6
data\dataset_2_split\train\images\13-120-ls-34-g01_26220_27360.jpg,0
data\dataset_2_split\train\images\13-120-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-120-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\13-120-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\13-120-ls-34-g01_4560_5700.jpg,
data\dataset_2_split\train\images\13-120-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-120-ls-34-g01_7980_9120.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_1140_2280.jpg,6
data\dataset_2_split\train\images\13-130-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_19380_20520.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_20520_21660.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_22800_23940.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_25080_26220.jpg,0
data\dataset_2_split\train\images\13-130-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-130-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_7980_9120.jpg,
data\dataset_2_split\train\images\13-130-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\13-140-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-140-ls-34-g01_1140_2280.jpg,6
data\dataset_2_split\train\images\13-140-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-140-ls-34-g01_18240_19380.jpg,7
data\dataset_2_split\train\images\13-140-ls-34-g01_19380_20520.jpg,2
data\dataset_2_split\train\images\13-140-ls-34-g01_20520_21660.jpg,
data\dataset_2_split\train\images\13-140-ls-34-g01_23940_25080.jpg,
data\dataset_2_split\train\images\13-140-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-140-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-140-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\13-140-ls-34-g01_5700_6840.jpg,0
data\dataset_2_split\train\images\13-140-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\13-150-ls-34-g01_11400_12540.jpg,0
data\dataset_2_split\train\images\13-150-ls-34-g01_1140_2280.jpg,0
data\dataset_2_split\train\images\13-150-ls-34-g01_12540_13680.jpg,0
data\dataset_2_split\train\images\13-150-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-150-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\13-150-ls-34-g01_6840_7980.jpg,0
data\dataset_2_split\train\images\13-160-ls-34-g01_12540_13680.jpg,1
data\dataset_2_split\train\images\13-160-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-160-ls-34-g01_18240_19380.jpg,7
data\dataset_2_split\train\images\13-160-ls-34-g01_20520_21660.jpg,
data\dataset_2_split\train\images\13-160-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-160-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-160-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\13-160-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-170-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-170-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\13-170-ls-34-g01_11400_12540.jpg,1
data\dataset_2_split\train\images\13-170-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-170-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\13-170-ls-34-g01_18240_19380.jpg,"0,6"
data\dataset_2_split\train\images\13-170-ls-34-g01_19380_20520.jpg,0
data\dataset_2_split\train\images\13-170-ls-34-g01_20520_21660.jpg,
data\dataset_2_split\train\images\13-170-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-170-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-170-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\13-170-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-170-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\13-170-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-170-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-170-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\13-170-ls-34-g01_6840_7980.jpg,
data\dataset_2_split\train\images\13-170-ls-34-g01_7980_9120.jpg,11
data\dataset_2_split\train\images\13-170-ls-34-g01_9120_10260.jpg,"6,11"
data\dataset_2_split\train\images\13-180-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-180-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-180-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\13-180-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\13-180-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-180-ls-34-g01_23940_25080.jpg,1
data\dataset_2_split\train\images\13-180-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\13-180-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-180-ls-34-g01_30780_31920.jpg,0
data\dataset_2_split\train\images\13-180-ls-34-g01_4560_5700.jpg,
data\dataset_2_split\train\images\13-180-ls-34-g01_7980_9120.jpg,1
data\dataset_2_split\train\images\13-180-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\13-190-ls-34-g01_10260_11400.jpg,
data\dataset_2_split\train\images\13-190-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\13-190-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\13-190-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\13-190-ls-34-g01_19380_20520.jpg,7
data\dataset_2_split\train\images\13-190-ls-34-g01_2280_3420.jpg,6
data\dataset_2_split\train\images\13-190-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-190-ls-34-g01_26220_27360.jpg,
data\dataset_2_split\train\images\13-190-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-190-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-190-ls-34-g01_3420_4560.jpg,
data\dataset_2_split\train\images\13-190-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-190-ls-34-g01_6840_7980.jpg,
data\dataset_2_split\train\images\13-190-ls-34-g01_7980_9120.jpg,
data\dataset_2_split\train\images\13-190-ls-34-g01_9120_10260.jpg,
data\dataset_2_split\train\images\13-200-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\13-200-ls-34-g01_11400_12540.jpg,1
data\dataset_2_split\train\images\13-200-ls-34-g01_1140_2280.jpg,
data\dataset_2_split\train\images\13-200-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-200-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-200-ls-34-g01_19380_20520.jpg,7
data\dataset_2_split\train\images\13-200-ls-34-g01_22800_23940.jpg,
data\dataset_2_split\train\images\13-200-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-200-ls-34-g01_23940_25080.jpg,0
data\dataset_2_split\train\images\13-200-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-200-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\13-200-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-200-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\13-200-ls-34-g01_4560_5700.jpg,
data\dataset_2_split\train\images\13-200-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-200-ls-34-g01_7980_9120.jpg,
data\dataset_2_split\train\images\13-210-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-210-ls-34-g01_22800_23940.jpg,
data\dataset_2_split\train\images\13-210-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-210-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-210-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-210-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\13-210-ls-34-g01_7980_9120.jpg,
data\dataset_2_split\train\images\13-210-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\13-220-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_23940_25080.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\13-220-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\13-220-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_6840_7980.jpg,
data\dataset_2_split\train\images\13-220-ls-34-g01_7980_9120.jpg,
data\dataset_2_split\train\images\13-230-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\13-230-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-230-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\13-230-ls-34-g01_22800_23940.jpg,1
data\dataset_2_split\train\images\13-230-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-230-ls-34-g01_23940_25080.jpg,
data\dataset_2_split\train\images\13-230-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-230-ls-34-g01_26220_27360.jpg,1
data\dataset_2_split\train\images\13-230-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-230-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-230-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-230-ls-34-g01_4560_5700.jpg,
data\dataset_2_split\train\images\13-230-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-240-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-240-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\13-240-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\13-240-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-240-ls-34-g01_2280_3420.jpg,6
data\dataset_2_split\train\images\13-240-ls-34-g01_23940_25080.jpg,
data\dataset_2_split\train\images\13-240-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-240-ls-34-g01_28500_29640.jpg,1
data\dataset_2_split\train\images\13-240-ls-34-g01_30780_31920.jpg,0
data\dataset_2_split\train\images\13-240-ls-34-g01_4560_5700.jpg,1
data\dataset_2_split\train\images\13-250-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-250-ls-34-g01_11400_12540.jpg,0
data\dataset_2_split\train\images\13-250-ls-34-g01_1140_2280.jpg,
data\dataset_2_split\train\images\13-250-ls-34-g01_13680_14820.jpg,1
data\dataset_2_split\train\images\13-250-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\13-250-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-250-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\13-250-ls-34-g01_19380_20520.jpg,7
data\dataset_2_split\train\images\13-250-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-250-ls-34-g01_22800_23940.jpg,
data\dataset_2_split\train\images\13-250-ls-34-g01_2280_3420.jpg,1
data\dataset_2_split\train\images\13-250-ls-34-g01_23940_25080.jpg,
data\dataset_2_split\train\images\13-250-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-250-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-250-ls-34-g01_3420_4560.jpg,0
data\dataset_2_split\train\images\13-250-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_1140_2280.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\13-260-ls-34-g01_19380_20520.jpg,7
data\dataset_2_split\train\images\13-260-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_23940_25080.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\13-260-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-260-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-260-ls-34-g01_9120_10260.jpg,"1,6"
data\dataset_2_split\train\images\13-270-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\13-270-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\13-270-ls-34-g01_1140_2280.jpg,6
data\dataset_2_split\train\images\13-270-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-270-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\13-270-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-270-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\13-270-ls-34-g01_20520_21660.jpg,
data\dataset_2_split\train\images\13-270-ls-34-g01_23940_25080.jpg,
data\dataset_2_split\train\images\13-270-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\13-270-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-270-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\13-270-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\13-270-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-270-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\13-280-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\13-280-ls-34-g01_1140_2280.jpg,6
data\dataset_2_split\train\images\13-280-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-280-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-280-ls-34-g01_20520_21660.jpg,
data\dataset_2_split\train\images\13-280-ls-34-g01_22800_23940.jpg,
data\dataset_2_split\train\images\13-280-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-280-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-280-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\13-280-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\13-280-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-280-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-280-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\13-290-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\13-290-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_19380_20520.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_23940_25080.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_6840_7980.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_7980_9120.jpg,
data\dataset_2_split\train\images\13-290-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\13-300-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-300-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\13-300-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-300-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-300-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\13-300-ls-34-g01_19380_20520.jpg,7
data\dataset_2_split\train\images\13-300-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-300-ls-34-g01_2280_3420.jpg,6
data\dataset_2_split\train\images\13-300-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-300-ls-34-g01_26220_27360.jpg,
data\dataset_2_split\train\images\13-300-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-300-ls-34-g01_3420_4560.jpg,
data\dataset_2_split\train\images\13-310-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-310-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\13-310-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-310-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-310-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\13-310-ls-34-g01_19380_20520.jpg,
data\dataset_2_split\train\images\13-310-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-310-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-310-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-310-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-310-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-310-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\13-310-ls-34-g01_4560_5700.jpg,
data\dataset_2_split\train\images\13-310-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-310-ls-34-g01_9120_10260.jpg,6
data\dataset_2_split\train\images\13-320-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_10260_11400.jpg,6
data\dataset_2_split\train\images\13-320-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_1140_2280.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_15960_17100.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_20520_21660.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_22800_23940.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-320-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-320-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_11400_12540.jpg,7
data\dataset_2_split\train\images\13-330-ls-34-g01_1140_2280.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_18240_19380.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_2280_3420.jpg,6
data\dataset_2_split\train\images\13-330-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\13-330-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-330-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_4560_5700.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_6840_7980.jpg,
data\dataset_2_split\train\images\13-330-ls-34-g01_7980_9120.jpg,
data\dataset_2_split\train\images\13-340-ls-34-g01_11400_12540.jpg,7
data\dataset_2_split\train\images\13-340-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-340-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-340-ls-34-g01_19380_20520.jpg,7
data\dataset_2_split\train\images\13-340-ls-34-g01_20520_21660.jpg,
data\dataset_2_split\train\images\13-340-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-340-ls-34-g01_22800_23940.jpg,
data\dataset_2_split\train\images\13-340-ls-34-g01_2280_3420.jpg,6
data\dataset_2_split\train\images\13-340-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-340-ls-34-g01_28500_29640.jpg,
data\dataset_2_split\train\images\13-340-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-340-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-340-ls-34-g01_3420_4560.jpg,7
data\dataset_2_split\train\images\13-340-ls-34-g01_5700_6840.jpg,
data\dataset_2_split\train\images\13-340-ls-34-g01_9120_10260.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\13-350-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_13680_14820.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\13-350-ls-34-g01_20520_21660.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_21660_22800.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_22800_23940.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_2280_3420.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_23940_25080.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_25080_26220.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_26220_27360.jpg,6
data\dataset_2_split\train\images\13-350-ls-34-g01_27360_28500.jpg,7
data\dataset_2_split\train\images\13-350-ls-34-g01_29640_30780.jpg,
data\dataset_2_split\train\images\13-350-ls-34-g01_30780_31920.jpg,
data\dataset_2_split\train\images\13-360-ls-34-g01_0_1140.jpg,
data\dataset_2_split\train\images\13-360-ls-34-g01_10260_11400.jpg,7
data\dataset_2_split\train\images\13-360-ls-34-g01_11400_12540.jpg,
data\dataset_2_split\train\images\13-360-ls-34-g01_1140_2280.jpg,6
data\dataset_2_split\train\images\13-360-ls-34-g01_12540_13680.jpg,
data\dataset_2_split\train\images\13-360-ls-34-g01_14820_15960.jpg,
data\dataset_2_split\train\images\13-360-ls-34-g01_17100_18240.jpg,
data\dataset_2_split\train\images\13-360-ls-34-g01_18240_19380.jpg,6
data\dataset_2_split\train\images\13-360-ls-34-g01_19380_20520.jpg,7
data\dataset_2_split\train\images\13-360-ls-34-g01_20520_21660.jpg,
data\dataset_2_split\train\images\13-360-ls-34-g01_21660_22800.jpg,
